Sample	Reverse Only Surviving	Surviving Reads	Forward Only Surviving	Dropped
HMP.2.206534_R1	1.0	41871.0	8.0	0.0
HMP.2.206536_R1	1.0	36703.0	5.0	0.0
HMP.2.206538_R1	0.0	19936.0	2.0	0.0
HMP.2.206547_R1	0.0	33310.0	7.0	0.0
HMP.2.206548_R1	0.0	16541.0	3.0	0.0
HMP.2.206561_R1	0.0	18451.0	4.0	0.0
HMP.2.206562_R1	1.0	33360.0	8.0	0.0
HMP.2.206563_R1	0.0	37957.0	4.0	0.0
HMP.2.206564_R1	1.0	12876.0	0.0	0.0
HMP.2.206569_R1	1.0	52404.0	5.0	0.0
HMP.2.206570_R1	1.0	63033.0	11.0	0.0
HMP.2.206571_R1	1.0	31897.0	4.0	0.0
HMP.2.206572_R1	1.0	32187.0	6.0	0.0
HMP.2.206603_R1	0.0	55818.0	7.0	0.0
HMP.2.206604_R1	0.0	22634.0	6.0	0.0
HMP.2.206605_R1	3.0	29795.0	3.0	0.0
HMP.2.206608_R1	0.0	34895.0	4.0	0.0
HMP.2.206609_R1	0.0	26048.0	5.0	0.0
HMP.2.206614_R1	1.0	11637.0	4.0	0.0
HMP.2.206615_R1	0.0	22390.0	4.0	0.0
HMP.2.206616_R1	0.0	276.0	0.0	0.0
HMP.2.206617_R1	0.0	8756.0	2.0	0.0
HMP.2.206618_R1	0.0	5348.0	1.0	0.0
HMP.2.206619_R1	0.0	7349.0	6.0	0.0
HMP.2.206620_R1	0.0	313.0	3.0	0.0
HMP.2.206621_R1	0.0	189.0	4.0	0.0
HMP.2.206622_R1	0.0	15501.0	7.0	0.0
HMP.2.206623_R1	0.0	592.0	1.0	0.0
HMP.2.206624_R1	0.0	1919.0	2.0	0.0
HMP.2.206625_R1	0.0	3925.0	1.0	0.0
HMP.2.206626_R1	0.0	942.0	3.0	0.0
HMP.2.206627_R1	0.0	162.0	1.0	0.0
HMP.2.206628_R1	0.0	2921.0	1.0	0.0
HMP.2.206629_R1	0.0	16874.0	1.0	0.0
HMP.2.206630_R1	0.0	20825.0	19.0	0.0
HMP.2.206635_R1	2.0	52514.0	3.0	0.0
HMP.2.206636_R1	0.0	1304.0	1.0	0.0
HMP.2.206643_R1	0.0	43603.0	7.0	0.0
HMP.2.206644_R1	0.0	20477.0	8.0	0.0
HMP.2.206645_R1	0.0	2595.0	0.0	0.0
HMP.2.206646_R1	0.0	56264.0	10.0	0.0
HMP.2.206647_R1	0.0	55701.0	4.0	0.0
HMP.2.206648_R1	0.0	46165.0	8.0	0.0
HMP.2.206655_R1	0.0	11456.0	3.0	0.0
HMP.2.206656_R1	0.0	4476.0	0.0	0.0
HMP.2.206657_R1	1.0	52602.0	8.0	0.0
HMP.2.206658_R1	0.0	42035.0	26.0	0.0
HMP.2.206659_R1	0.0	36311.0	9.0	0.0
HMP.2.206660_R1	1.0	54020.0	7.0	0.0
HMP.2.206667_R1	0.0	26782.0	7.0	0.0
HMP.2.206668_R1	0.0	3153.0	2.0	0.0
HMP.2.206669_R1	0.0	287.0	0.0	0.0
HMP.2.206670_R1	2.0	56531.0	8.0	0.0
HMP.2.206671_R1	0.0	35478.0	6.0	0.0
HMP.2.206672_R1	0.0	29500.0	18.0	0.0
HMP.2.206673_R1	0.0	39577.0	5.0	0.0
HMP.2.206675_R1	0.0	21250.0	5.0	0.0
HMP.2.206676_R1	0.0	21146.0	2.0	0.0
HMP.2.206677_R1	0.0	20948.0	5.0	0.0
HMP.2.206678_R1	0.0	28101.0	6.0	0.0
HMP.2.206681_R1	0.0	4501.0	0.0	0.0
HMP.2.206682_R1	0.0	5725.0	12.0	0.0
HMP.2.206683_R1	0.0	52356.0	10.0	0.0
HMP.2.206684_R1	0.0	53277.0	1.0	0.0
HMP.2.206695_R1	1.0	9691.0	5.0	0.0
HMP.2.206700_R1	0.0	78288.0	7.0	0.0
HMP.2.206701_R1	0.0	26538.0	8.0	0.0
HMP.2.206702_R1	0.0	40239.0	11.0	0.0
HMP.2.206703_R1	1.0	45858.0	7.0	0.0
HMP.2.206704_R1	2.0	51259.0	18.0	0.0
HMP.2.206708_R1	0.0	43793.0	5.0	0.0
HMP.2.206709_R1	1.0	44934.0	0.0	0.0
HMP.2.206710_R1	0.0	47698.0	8.0	0.0
HMP.2.206711_R1	0.0	60934.0	3.0	0.0
HMP.2.206712_R1	0.0	52580.0	8.0	0.0
HMP.2.206713_R1	0.0	50453.0	4.0	0.0
HMP.2.206718_R1	3.0	37506.0	3.0	0.0
HMP.2.206719_R1	0.0	50074.0	6.0	0.0
HMP.2.206720_R1	0.0	64203.0	8.0	0.0
HMP.2.206721_R1	0.0	63531.0	11.0	0.0
HMP.2.206723_R1	0.0	252.0	2.0	0.0
HMP.2.206724_R1	1.0	56241.0	9.0	0.0
HMP.2.206725_R1	0.0	62180.0	15.0	0.0
HMP.2.206726_R1	1.0	62228.0	4.0	0.0
HMP.2.206727_R1	2.0	64317.0	8.0	0.0
HMP.2.206728_R1	0.0	64519.0	6.0	0.0
